"Muni,County",District,Wards,Senate,Senate_party,Senate_main_office,Senate_phone,Senate_email,Assembly_1,Assembly_party_1,Assembly_office_1,Assembly_phone_1,Assembly_email_1,Assembly_2,Assembly_party_2,Assembly_office_2,Assembly_phone_2,Assembly_email_2
Caldwell,District 27,No,RICHARD J. CODEY,D,"66 W. Mount Pleasant Ave., Livingston, NJ 07039",973-535-5017,SenCodey@njleg.org,MILA M. JASEY,D,"511 Valley St., Maplewood, NJ 07040",973-762-1886,AsmJasey@njleg.org,JOHN F. MCKEON,D,"250 Main St., Madison, NJ 07940",973-377-1606,AsmMcKeon@njleg.org
Califon,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Camden,District 5,No,NILSA CRUZ-PEREZ,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Cape May,District 1,No,JEFF VAN DREW,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Cape May Point,District 1,No,JEFF VAN DREW,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Carlstadt,District 36,No,PAUL A. SARLO,D,"496 Columbia Blvd., First Floor, Wood-Ridge, NJ 07075",201-804-8118,SenSarlo@njleg.org,MARLENE CARIDE,D,"613 Bergen Blvd., Ridgefield, NJ 07657",201-943-0615,AsmCaride@njleg.org,GARY S. SCHAER,D,"1 Howe Ave., Suite 302, Passaic, NJ 07055",973-249-3665,AsmSchaer@njleg.org
Carneys Point,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Carteret,District 19,No,JOSEPH F. VITALE,D,"569 Rahway Ave., Woodbridge, NJ 07095",732-855-7441,SenVitale@njleg.org,JOHN S. WISNIEWSKI,D,"132 Main St., Suite A, Sayreville, NJ 08872",732-432-8460,AsmWisniewski@njleg.org,CRAIG J. COUGHLIN,D,"569 Rahway Ave., Woodbridge, NJ 07095",732-855-7441,AsmCoughlin@njleg.org
Cedar Grove,District 40,No,KEVIN J. O'TOOLE,R,"155 Route 46 West, Suite 108, Wayne, NJ 07470",973-237-1360,SenOToole@njleg.org,SCOTT T. RUMANA,R,"155 Route 46 West, 1st Floor, Wayne, NJ 07470",973-237-1362,AsmRumana@njleg.org,DAVID C. RUSSO,R,"22 Paterson Ave., Midland Park, NJ 07432",201-444-9719,AsmRusso@njleg.org
Chatham Borough,District 21,No,"THOMAS H. KEAN, JR.",R,"57 Union Place, Suite 310, Summit, NJ 07901",908-918-0414,SenKean@njleg.org,JON M. BRAMNICK,R,"251 North Ave. West, 2nd Floor, Westfield, NJ 07090",908-232-2073,AsmBramnick@njleg.org,NANCY F. MUNOZ,R,"425 North Ave. East, Suite C, Westfield, NJ 07090",908-232-3673,AsmMunoz@njleg.org
Chatham Township,District 27,No,RICHARD J. CODEY,D,"66 W. Mount Pleasant Ave., Livingston, NJ 07039",973-535-5017,SenCodey@njleg.org,MILA M. JASEY,D,"511 Valley St., Maplewood, NJ 07040",973-762-1886,AsmJasey@njleg.org,JOHN F. MCKEON,D,"250 Main St., Madison, NJ 07940",973-377-1606,AsmMcKeon@njleg.org
Cherry Hill,District 6,No,JAMES BEACH,D,"1309 Route 70 West, Cherry Hill, NJ 08002",856-429-1572,SenBeach@njleg.org,LOUIS D. GREENWALD,D,"1101 Laurel Oak Ave., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmGreenwald@njleg.org,PAMELA R. LAMPITT,D,"1101 Laurel Oak Rd., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmLampitt@njleg.org
Chesilhurst,District 4,No,"FRED H. MADDEN, JR.",D,"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,SenMadden@njleg.org,PAUL D. MORIARTY,D,"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,AsmMoriarty@njleg.org,GABRIELA M. MOSQUERA,D,"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,AsmMosquera@njleg.org
Chester Borough,District 25,No,ANTHONY R. BUCCO,R,"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL,R,"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO,R,"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Chester Township,District 25,No,ANTHONY R. BUCCO,R,"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL,R,"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO,R,"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Chesterfield,District 12,No,SAMUEL D. THOMPSON,R,"2501 Highway 516, Suite 101, Old Bridge, NJ 08857",732-607-7580,SenThompson@njleg.org,RONALD S. DANCER,R,"2110 W. County Line Rd., Jackson, NJ 08527",732-901-0702,AsmDancer@njleg.org,ROBERT D. CLIFTON,R,"516 Route 33 West, Bldg. 2, Suite 2, Millstone, NJ 08535",732-446-3408,AsmClifton@njleg.org
Cinnaminson,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Clark,District 22,No,NICHOLAS P. SCUTARI,D,"1514 E. Saint Georges Ave., 2nd Floor, Linden, NJ 07036",908-587-0404,SenScutari@njleg.org,JERRY GREEN,D,"200 West 2nd Street, Suite 102, Plainfield, NJ 07060",908-561-5757,AsmGreen@njleg.org,JAMES J. KENNEDY,D,"34 E. Cherry St., Rahway, NJ 07065",732-943-2660,AsmKennedy@njleg.org
Clayton,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Clementon,District 4,No,"FRED H. MADDEN, JR.",D,"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,SenMadden@njleg.org,PAUL D. MORIARTY,D,"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,AsmMoriarty@njleg.org,GABRIELA M. MOSQUERA,D,"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,AsmMosquera@njleg.org
Cliffside Park,District 36,No,PAUL A. SARLO,D,"496 Columbia Blvd., First Floor, Wood-Ridge, NJ 07075",201-804-8118,SenSarlo@njleg.org,MARLENE CARIDE,D,"613 Bergen Blvd., Ridgefield, NJ 07657",201-943-0615,AsmCaride@njleg.org,GARY S. SCHAER,D,"1 Howe Ave., Suite 302, Passaic, NJ 07055",973-249-3665,AsmSchaer@njleg.org
Clifton,District 34,No,NIA H. GILL,D,"39 South Fullerton Avenue, 2nd Fl., Suite 7, Montclair, NJ 07042",973-509-0388,SenGill@njleg.org,SHEILA Y. OLIVER,D,"15-33 Halsted Street, Suite 202, East Orange, NJ 07018",973-395-1166,AsmOliver@njleg.org,THOMAS P. GIBLIN,D,"1333 Broad Street, Clifton, NJ 07013",973-779-3125,AsmGiblin@njleg.org
Clinton,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Clinton Township,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Closter,District 39,No,GERALD CARDINALE,R,"350 Madison Ave., Cresskill, NJ 07626",201-567-2324,SenCardinale@njleg.org,ROBERT AUTH,R,"1069 Ringwood Ave., Suite 312, Haskell, NJ 07420",862-248-0491,AsmAuth@njleg.org,HOLLY SCHEPISI,R,"287 Kinderkamack Rd., Westwood, NJ 07675",201-666-0881,AsmSchepisi@njleg.org
Collingswood,District 6,No,JAMES BEACH,D,"1309 Route 70 West, Cherry Hill, NJ 08002",856-429-1572,SenBeach@njleg.org,LOUIS D. GREENWALD,D,"1101 Laurel Oak Ave., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmGreenwald@njleg.org,PAMELA R. LAMPITT,D,"1101 Laurel Oak Rd., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmLampitt@njleg.org
Colts Neck,District 11,No,JENNIFER BECK,R,"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,SenBeck@njleg.org,JOANN DOWNEY,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmDowney@njleg.org,ERIC HOUGHTALING,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmHoughtaling@njleg.org
Commercial,District 1,No,JEFF VAN DREW,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Corbin City,District 1,No,JEFF VAN DREW,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Cranbury,District 14,No,LINDA R. GREENSTEIN,D,"1249 South River Rd., Suite 105, Cranbury, NJ 08512",609-395-9911,SenGreenstein@njleg.org,WAYNE P. DEANGELO,D,"4621A Nottingham Way, Hamilton, NJ 08690",609-631-7501,AsmDeAngelo@njleg.org,DANIEL R. BENSON,D,"3691A Nottingham Way, Hamilton Square, NJ 08690",609-631-0198,AsmBenson@njleg.org
Cranford,District 21,No,"THOMAS H. KEAN, JR.",R,"57 Union Place, Suite 310, Summit, NJ 07901",908-918-0414,SenKean@njleg.org,JON M. BRAMNICK,R,"251 North Ave. West, 2nd Floor, Westfield, NJ 07090",908-232-2073,AsmBramnick@njleg.org,NANCY F. MUNOZ,R,"425 North Ave. East, Suite C, Westfield, NJ 07090",908-232-3673,AsmMunoz@njleg.org
Cresskill,District 37,No,LORETTA WEINBERG,D,"545 Cedar Lane, Teaneck, NJ 07666",201-928-0100,SenWeinberg@njleg.org,GORDON M. JOHNSON,D,"545 Cedar Lane, Teaneck, NJ 07666",201-836-4924,AsmJohnson@njleg.org,VALERIE VAINIERI HUTTLE,D,"1 Eagle Street, Englewood, NJ 07631",201-541-1118,AsmHuttle@njleg.org
Deal,District 11,No,JENNIFER BECK,R,"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,SenBeck@njleg.org,JOANN DOWNEY,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmDowney@njleg.org,ERIC HOUGHTALING,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmHoughtaling@njleg.org
Deerfield,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Delanco,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Delaware,District 16,No,"CHRISTOPHER ""KIP"" BATEMAN",R,"36 East Main St., Somerville, NJ 08876",908-526-3600,SenBateman@njleg.org,JACK M. CIATTARELLI,R,"50 Division St., Suite 200, Somerville, NJ 08876",908-450-7064,AsmCiattarelli@njleg.org,ANDREW ZWICKER,D,"23 Orchard Road, Suite 170, Skillman, NJ 08558",609-454-3147,AsmZwicker@njleg.org
Delran,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Demarest,District 39,No,GERALD CARDINALE,R,"350 Madison Ave., Cresskill, NJ 07626",201-567-2324,SenCardinale@njleg.org,ROBERT AUTH,R,"1069 Ringwood Ave., Suite 312, Haskell, NJ 07420",862-248-0491,AsmAuth@njleg.org,HOLLY SCHEPISI,R,"287 Kinderkamack Rd., Westwood, NJ 07675",201-666-0881,AsmSchepisi@njleg.org
Dennis,District 1,No,JEFF VAN DREW,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Denville,District 25,No,ANTHONY R. BUCCO,R,"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL,R,"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO,R,"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Deptford,District 5,No,NILSA CRUZ-PEREZ,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Dover,District 25,No,ANTHONY R. BUCCO,R,"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL,R,"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO,R,"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Downe,District 1,No,JEFF VAN DREW,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Dumont,District 39,No,GERALD CARDINALE,R,"350 Madison Ave., Cresskill, NJ 07626",201-567-2324,SenCardinale@njleg.org,ROBERT AUTH,R,"1069 Ringwood Ave., Suite 312, Haskell, NJ 07420",862-248-0491,AsmAuth@njleg.org,HOLLY SCHEPISI,R,"287 Kinderkamack Rd., Westwood, NJ 07675",201-666-0881,AsmSchepisi@njleg.org
Dunellen,District 22,No,NICHOLAS P. SCUTARI,D,"1514 E. Saint Georges Ave., 2nd Floor, Linden, NJ 07036",908-587-0404,SenScutari@njleg.org,JERRY GREEN,D,"200 West 2nd Street, Suite 102, Plainfield, NJ 07060",908-561-5757,AsmGreen@njleg.org,JAMES J. KENNEDY,D,"34 E. Cherry St., Rahway, NJ 07065",732-943-2660,AsmKennedy@njleg.org
Eagleswood,District 9,No,CHRISTOPHER J. CONNORS JR,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,SenConnors@njleg.org,BRIAN E. RUMPF,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmRumpf@njleg.org,DIANNE C. GOVE,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmGove@njleg.org
East Amwell,District 15,No,SHIRLEY K. TURNER,D,"1230 Parkway Ave., Suite 103, Ewing Twp., NJ 08628",609-323-7239,SenTurner@njleg.org,REED GUSCIORA,D,"144 W. State St., Trenton, NJ 08608",609-571-9638,AsmGusciora@njleg.org,ELIZABETH MAHER MUOIO,D,"144 West State St., Trenton, NJ 08608",609-571-9638,AsmMaherMuoio@njleg.org
East Brunswick,District 18,No,"PATRICK J. DIEGNAN, JR.",D,"908 Oak Tree Ave., Unit P, South Plainfield, NJ 07080",908-757-1677,SenDiegnan@njleg.org,NANCY J. PINKIN,D,"3 Stephenville Pkwy., Suite 2E, Edison, NJ 08820",732-548-1406,AsmPinkin@njleg.org,ROBERT J. KARABINCHAK,D,"3 Stephenville Pkwy., Suite 2D, Edison, NJ 08820",732-548-1406,AsmKarabinchak@njleg.org
East Greenwich,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
East Hanover,District 27,No,RICHARD J. CODEY,D,"66 W. Mount Pleasant Ave., Livingston, NJ 07039",973-535-5017,SenCodey@njleg.org,MILA M. JASEY,D,"511 Valley St., Maplewood, NJ 07040",973-762-1886,AsmJasey@njleg.org,JOHN F. MCKEON,D,"250 Main St., Madison, NJ 07940",973-377-1606,AsmMcKeon@njleg.org
East Newark,District 32,No,NICHOLAS J. SACCO,D,"9060 Palisade Ave., North Bergen, NJ 07047",201-295-0200,SenSacco@njleg.org,VINCENT PRIETO,D,"1 Harmon Plaza, Suite 205, Secaucus, NJ 07094",201-770-1303,AsmPrieto@njleg.org,ANGELICA M. JIMENEZ,D,"5600 Kennedy Blvd., Suite 104, West New York, NJ 07093",201-223-4247,AsmJimenez@njleg.org
East Orange,District 34,No,NIA H. GILL,D,"39 South Fullerton Avenue, 2nd Fl., Suite 7, Montclair, NJ 07042",973-509-0388,SenGill@njleg.org,SHEILA Y. OLIVER,D,"15-33 Halsted Street, Suite 202, East Orange, NJ 07018",973-395-1166,AsmOliver@njleg.org,THOMAS P. GIBLIN,D,"1333 Broad Street, Clifton, NJ 07013",973-779-3125,AsmGiblin@njleg.org
East Rutherford,District 36,No,PAUL A. SARLO,D,"496 Columbia Blvd., First Floor, Wood-Ridge, NJ 07075",201-804-8118,SenSarlo@njleg.org,MARLENE CARIDE,D,"613 Bergen Blvd., Ridgefield, NJ 07657",201-943-0615,AsmCaride@njleg.org,GARY S. SCHAER,D,"1 Howe Ave., Suite 302, Passaic, NJ 07055",973-249-3665,AsmSchaer@njleg.org
East Windsor,District 14,No,LINDA R. GREENSTEIN,D,"1249 South River Rd., Suite 105, Cranbury, NJ 08512",609-395-9911,SenGreenstein@njleg.org,WAYNE P. DEANGELO,D,"4621A Nottingham Way, Hamilton, NJ 08690",609-631-7501,AsmDeAngelo@njleg.org,DANIEL R. BENSON,D,"3691A Nottingham Way, Hamilton Square, NJ 08690",609-631-0198,AsmBenson@njleg.org
Eastampton,District 8,No,DAWN MARIE ADDIEGO,R,"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,SenAddiego@njleg.org,JOSEPH HOWARTH,R,"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmHowarth@njleg.org,MARIA RODRIGUEZ-GREGG,R,"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmRodriguezGregg@njleg.org
Eatontown,District 11,No,JENNIFER BECK,R,"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,SenBeck@njleg.org,JOANN DOWNEY,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmDowney@njleg.org,ERIC HOUGHTALING,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmHoughtaling@njleg.org
Edgewater,District 32,No,NICHOLAS J. SACCO,D,"9060 Palisade Ave., North Bergen, NJ 07047",201-295-0200,SenSacco@njleg.org,VINCENT PRIETO,D,"1 Harmon Plaza, Suite 205, Secaucus, NJ 07094",201-770-1303,AsmPrieto@njleg.org,ANGELICA M. JIMENEZ,D,"5600 Kennedy Blvd., Suite 104, West New York, NJ 07093",201-223-4247,AsmJimenez@njleg.org
Edgewater Park,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Edison,District 18,No,"PATRICK J. DIEGNAN, JR.",D,"908 Oak Tree Ave., Unit P, South Plainfield, NJ 07080",908-757-1677,SenDiegnan@njleg.org,NANCY J. PINKIN,D,"3 Stephenville Pkwy., Suite 2E, Edison, NJ 08820",732-548-1406,AsmPinkin@njleg.org,ROBERT J. KARABINCHAK,D,"3 Stephenville Pkwy., Suite 2D, Edison, NJ 08820",732-548-1406,AsmKarabinchak@njleg.org
Egg Harbor City,District 2,No,JIM WHELAN,D,"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN,R,"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO,D,"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Egg Harbor Township,District 2,No,JIM WHELAN,D,"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN,R,"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO,D,"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Elizabeth,District 20,No,RAYMOND J. LESNIAK,D,"985 Stuyvesant Ave., Union, NJ 07083",908-624-0880,SenLesniak@njleg.org,JAMEL C. HOLLEY,D,"985 Stuyvesant Ave., Union, NJ 07083",908-624-0880,AsmHolley@njleg.org,ANNETTE QUIJANO,D,"985 Stuyvesant Ave., Union, NJ 07083",908-624-0880,AsmQuijano@njleg.org
Elk,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Elmer,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Elmwood Park,District 35,No,NELLIE POU,D,"100 Hamilton Plaza, Suite 1405, Paterson, NJ 07505",973-247-1555,SenPou@njleg.org,SHAVONDA E. SUMTER,D,"191 Market St., Paterson, NJ 07505",973-925-7061,AsmSumter@njleg.org,BENJIE E. WIMBERLY,D,"191 Market St., Paterson, NJ 07505",973-925-7061,AsmWimberly@njleg.org
